variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,-0.015473379731050655,0.00163979784560556,-0.017343355768354742,0.0016446684464956804,0.04818379800984676,0.001562684685338183
race_pred_Unknown,-0.03664918817832118,0.0021522714126509168,-0.0385141845326484,0.0021559474133388576,0.0181227710916402,0.002046688655550795
race_Black,,,0.003657260784236114,0.00025130209782488633,0.0017484179339304809,0.00023841959245245317
race_None,,,-0.003682866078895719,0.0017949557581031443,0.06502645412708757,0.001705277866414249
flesch_kincaid_grade,,,,,0.0368063342269557,4.877756643862842e-05
