variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,1536.2526878031465,65.3385212714605,1333.9188843353666,78.62920265613182,1239.409451180747,78.52599749994985
race_pred_Unknown,147.8866014922143,66.70830944285812,-46.33235683309605,77.11973054291565,68.53912446138105,77.07385681451886
race_Black,,,182.94702546478058,42.73282627027957,238.0924453039023,42.68548101849317
race_None,,,338.1242575267495,77.66015160443003,288.71523413655115,77.48326203448839
flesch_kincaid_grade,,,,,-253.96807110157056,10.932137786491072
