variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.08149212063616887,0.0005561236743461549,0.09023706968148994,0.0005644925910971859,0.059290536296623814,0.0005657559683451473
race_pred_Unknown,0.02811337897848343,0.002365567280196389,0.03704342621406704,0.002365374560450728,0.03982679111787865,0.0023394469908932128
race_Black,,,-0.020239241002263392,0.0002372435749466848,-0.017250788456465216,0.00023480807398532376
race_None,,,0.07661959111641982,0.0016745941761968132,0.05337288714449099,0.0016576549982595505
flesch_kincaid_grade,,,,,-0.0166703741138093,4.930989652730266e-05
