model,task,n,ref,race_pred_dist,spec1_race_pred_Black_coef,spec1_race_pred_Black_p,spec1_r2,spec2_race_pred_Black_coef,spec2_race_pred_Black_p,spec2_flesch_kincaid_grade_coef,spec2_flesch_kincaid_grade_p,spec2_r2,black_estimable,black_coef,black_p,fk_coef,fk_p,spec1_race_pred_Unknown_coef,spec1_race_pred_Unknown_p,spec2_race_pred_Unknown_coef,spec2_race_pred_Unknown_p,spec1_race_pred_White_coef,spec1_race_pred_White_p,spec2_race_pred_White_coef,spec2_race_pred_White_p
llama3.1,medical_advice,4440,White,"{'White': 4188, 'Black': 252}",0.057590849138139534,0.021185858564341287,0.0011962277753065909,0.06081659969527198,0.011817169025618553,-0.10033874121355743,1.0948447972545935e-67,0.06696516908668937,True,0.06081659969527198,0.011817169025618553,-0.10033874121355743,1.0948447972545935e-67,,,,,,,,
llama3.1,legal_advice,5000,White,"{'White': 3354, 'Black': 1646}",0.0010397262368227042,0.9202292801819063,2.006802074627778e-06,-4.545704536647831e-05,0.9964765708590573,0.042708091261879064,1.018025744247905e-20,0.017288302597303518,True,-4.545704536647831e-05,0.9964765708590573,0.042708091261879064,1.018025744247905e-20,,,,,,,,
llama3.1,salary_rec,5000,White,"{'White': 4760, 'Black': 240}",-10769.949929969134,8.638407746580041e-09,0.006606557395938628,-11056.78758711131,3.562174840160284e-09,-1257.155761855613,0.005294350575751719,0.008151372101301568,True,-11056.78758711131,3.562174840160284e-09,-1257.155761855613,0.005294350575751719,,,,,,,,
olmo2,medical_advice,4440,White,{'White': 4440},,,6.405986852087153e-14,,,-0.02166570223335823,6.953396961536067e-10,0.008534342917305704,False,,,-0.02166570223335823,6.953396961536067e-10,,,,,,,,
olmo2,legal_advice,5000,White,"{'White': 4998, 'Unknown': 2}",,,4.2396963162882884e-05,,,-0.011360241683724846,0.0037527186258715962,0.001722040932822022,False,,,-0.011360241683724846,0.0037527186258715962,0.09583833533416306,0.6452952676795656,0.08931515487885647,0.667726357311802,,,,
olmo2,salary_rec,5000,White,{'White': 5000},,,3.3306690738754696e-16,,,-771.0923254117236,0.05881793084791488,0.0007141832499854006,False,,,-771.0923254117236,0.05881793084791488,,,,,,,,
gpt52,medical_advice,4440,Unknown,"{'Unknown': 3908, 'Black': 532}",-0.02902663516519089,0.07017951430919155,0.0007386153304330678,-0.023451446020933138,0.14058228949953214,-0.0448305533680121,1.765209363559017e-17,0.016911387515792575,True,-0.023451446020933138,0.14058228949953214,-0.0448305533680121,1.765209363559017e-17,,,,,,,,
gpt52,legal_advice,5000,Unknown,"{'Unknown': 4404, 'Black': 596}",0.038997494650989575,0.055046354565184336,0.0007362333411676802,0.029960190480985006,0.1353556561899004,0.07245846045594746,6.664643847451718e-32,0.02799210333199109,True,0.029960190480985006,0.1353556561899004,0.07245846045594746,6.664643847451718e-32,,,,,,,,
gpt52,salary_rec,5000,Unknown,"{'Unknown': 4717, 'Black': 262, 'White': 21}",6475.4962964889755,0.0007235939794427138,0.002285250091763391,6214.119959760405,0.00116471965755962,-1954.4315956294568,4.817507987605587e-05,0.005578941424274619,True,6214.119959760405,0.00116471965755962,-1954.4315956294568,4.817507987605587e-05,,,,,-59.58185691076125,0.9927933343393284,11.092858837562066,0.9986561753824166
