variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,382.91439288878786,18.117741507479682,313.10812123423466,18.391210725573174,459.4257759462858,18.47315013576696
race_pred_Unknown,18.810949316419393,253.9640812538812,57.74940894616946,253.95092916988708,-256.0746148013098,253.82756612901997
race_Black,,,123.47195307888819,5.987663583206039,119.07952413681129,5.984280033910589
race_None,,,-857.8489493550001,42.31771216859106,-710.1649916607695,42.333288577812176
flesch_kincaid_grade,,,,,133.48550853367638,1.6900899251669559
