variable,coef,std_err,t,p
race_pred_Unknown,-0.006372496513339657,0.0008943113715587927,-7.125590388314462,1.0364825480111875e-12
race_pred_White,-0.012984696039622183,0.0007339125761823153,-17.692428854627753,4.818061695309264e-70
type_token_ratio,0.016080548440805344,0.001537655432920087,10.457836064265422,1.3497686335825061e-25
flesch_kincaid_grade,-0.0023880030315983954,6.548520105906843e-05,-36.46630067523788,4.117223321852514e-291
avg_sentence_length,0.0021640966208660442,4.788557803900411e-05,45.19307711192978,0.0
id_cue_explicit,0.1464646596223022,0.002721085353497906,53.82582337375949,0.0
id_cue_name,0.09769802074825103,0.002625860588348211,37.206095853591236,5.939982923943402e-303
id_cue_neutral,0.034666135541700664,0.0026933207848156416,12.871149896863685,6.550444563134659e-38
id_cue_none,0.01956434628302282,0.0039971822873110475,4.8945344186902195,9.854154379048926e-07
race_White,-0.000661626477806939,0.0003712033183287566,-1.7823829829585973,0.0746868543792611
race_black,0.048966483828741546,0.0003547333969138085,138.03742262429043,0.0
race_none,0.04071037076376264,0.0015394300649958766,26.44509269336096,4.2499038863680975e-154
race_white,0.04483355705278341,0.00035511764123646996,126.24987284968225,0.0
