variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,-0.018579407667909532,0.0006007861331607912,-0.01905821496564399,0.0006039127320482471,-0.00824250948322528,0.0006024268123902379
race_pred_Unknown,0.014869276865429252,0.0022999631810201883,0.014432719616219506,0.0023000917350052127,-0.010023277855942855,0.0022897655042531015
race_Black,,,0.0005740304277916783,0.0001239480030346449,0.0003280039504198992,0.00012325921299724305
race_None,,,-0.03813663014900904,0.000884479459171874,-0.026330351029587466,0.0008810717080455478
flesch_kincaid_grade,,,,,0.004432709625512092,1.955950497613556e-05
