model,task,race_coef,race_t,race_sig,fk_coef,fk_t,fk_sig
LLaMA-3.1,medical,0.0592340023449568,86.71352881694713,***,-0.0128991668155872,-449.29408131774727,***
LLaMA-3.1,legal,0.0592905362966238,104.79878183177688,***,-0.0166703741138093,-338.0735975501184,***
LLaMA-3.1,salary,631.0541999364398,34.84270511913328,***,134.08166061572993,76.62385877579692,***
OLMo-2,medical,-0.0082425094832252,-13.682175682921654,***,0.004432709625512,226.62688196456523,***
OLMo-2,legal,0.0481837980098467,30.833986191796413,***,0.0368063342269557,754.5750416488113,***
OLMo-2,salary,339.3299799904498,11.916894929930091,***,400.0677924691359,242.5939089154514,***
GPT-5.2,medical,0.0001892809382662,0.07250327006267607,ns,0.0047553998202586,23.543559255723636,***
GPT-5.2,legal,-0.0040906025068383,-1.1950861523573841,ns,-0.001674341958381,-4.362344720990881,***
GPT-5.2,salary,1239.409451180747,15.783428299418146,***,-253.96807110157056,-23.23132730868073,***
