model,task,n,inf_base_coef,inf_base_p,inf_ext_coef,inf_ext_p,cue_base_coef,cue_base_p,cue_ext_coef,cue_ext_p
llama3.1,medical_advice,4551000,0.06112584309085955,5.9821421565715585e-59,0.04082576317038403,3.1159528113667996e-26,-0.01768791815785181,1.469694602258932e-86,0.001663012084550196,0.1497592889434026
llama3.1,legal_advice,5065000,0.04079152139989831,1.0370453877398453e-85,0.003619674250996247,0.08914696364186792,-0.01372956998410299,4.040533633708024e-59,-0.0024235411006523896,0.026007434404176334
llama3.1,salary_rec,5122405,459.42577592132875,0.05623267343935844,765.6184180123051,0.0017818847158356757,119.0795241402164,0.12661277356005501,150.90826439692776,0.13507123660400064
olmo2,medical_advice,4550680,-0.008242509479697426,0.06730319737016457,-0.004673575045446718,0.31086934577911557,0.0003280039506373751,0.7219503172771335,0.006686605109380779,1.7237677811098453e-08
olmo2,legal_advice,5124476,0.048183798010288784,1.5131144764771586e-21,0.0841267343840754,2.4074098846516643e-62,0.0017484179339277474,0.023358390977340906,-0.005171482941577003,1.5860939369453055e-07
olmo2,salary_rec,5125000,339.32997998387947,0.31039914274195457,1309.5898439974267,0.00011085725132631805,150.1211821576194,0.02780364781806488,-206.7441349656202,0.018563961399755025
gpt52,medical_advice,99980,0.00018928093825476035,0.9892921605449205,0.011459693055042087,0.45727715793769075,0.012902917477862094,0.07855267326455964,0.0020690277189239887,0.8288529258168078
gpt52,legal_advice,101100,-0.00409060250684033,0.5913518950206964,-0.01568735655879374,0.05891430972187225,-0.00986985331553747,0.025365810647282626,0.00327218001134312,0.5681077572512058
gpt52,salary_rec,101100,1239.4094511811647,0.3705903015715092,1474.5374639595614,0.3374855046796644,238.09244530367963,0.7516823117510196,9.076962303536941,0.9927727763846367
