variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.08155207093871975,0.0007589614095228835,0.08065410998911693,0.0007646110151942242,0.04984130256222514,0.0007515376981996139
race_pred_Unknown,0.015733009548909917,0.0006418113670522685,0.015103897034281357,0.0006458013589840755,0.011902430912359688,0.0006321228597242467
race_Black,,,0.0022594890750031386,0.00018152567998331448,0.0038154102119128674,0.00017770354716317369
race_None,,,0.05412237804769311,0.001285114077918657,0.02103151182932381,0.0012599915148909936
flesch_kincaid_grade,,,,,-0.01249921251124864,2.7970068186667723e-05
