variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,399.20941005734807,18.142224620266724,303.49185663687945,18.416379288412465,426.8057240170172,18.506090006919422
race_pred_Unknown,28.327696620789716,254.30728962346927,6.188536266300488,254.2763694669478,-250.6225904439946,254.20204402286217
race_Black,,,172.3932714187952,5.995537788585825,163.90234360008796,5.994483442084264
race_None,,,-816.4049350066201,42.373073756335046,-696.910053465704,42.39538285672514
flesch_kincaid_grade,,,,,110.14590171101942,1.6929485152996806
