variable,(1) coef,(1) se,(1) p,(2) coef,(2) se,(2) p
Intercept,-35440542960.92358,82100596195.74388,0.666000666868971,-30212878185.003773,81285223865.54713,0.710141668014252
race_pred_Black,35440542961.7651,82100596195.74025,0.6660006668615068,30212878186.00861,81285223865.54367,0.7101416680050358
race_pred_Unknown,35440542961.80984,82100596195.73853,0.6660006668611045,30212878186.02852,81285223865.54161,0.7101416680048466
flesch_kincaid_grade,,,,-0.044824743544272384,0.005248580050072795,1.8146850037559815e-17
