model,task,n_raw,n_valid,pct_other,pct_White,pct_Black,pct_Unknown
llama3.1,medical_advice,4440,4440,0.0,99.86,0.0,0.14
llama3.1,legal_advice,5000,5000,0.0,95.02,4.98,0.0
llama3.1,salary_rec,5000,5000,0.0,99.88,0.12,0.0
olmo2,medical_advice,4440,4440,0.0,100.0,0.0,0.0
olmo2,legal_advice,5000,5000,0.0,99.94,0.0,0.06
olmo2,salary_rec,5000,5000,0.0,100.0,0.0,0.0
gpt52,medical_advice,4440,4440,0.0,0.0,0.0,100.0
gpt52,legal_advice,5000,5000,0.0,0.02,0.02,99.96
gpt52,salary_rec,5000,5000,0.0,0.02,0.0,99.98
