variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,-0.010769813333503275,0.0029109017667652373,-0.001519791894039334,0.0033720385587992455,-0.004090602506838391,0.003422851564943172
race_pred_Unknown,0.005086067254616801,0.0027356220881025782,0.00877043603590777,0.0029868178368406806,0.006992873858319902,0.0030142211028349407
race_Black,,,-0.010760965367368295,0.0019727602069763957,-0.009869853315538218,0.001983133025358368
race_None,,,-0.005990169003834834,0.003567380015434393,-0.005171773025682187,0.0035719919378201445
flesch_kincaid_grade,,,,,-0.0016743419583810882,0.0003838169758397219
