variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.08550360295537482,0.0005644075834652184,0.09351471974568429,0.0005719300501688177,0.04079152140034896,0.0005710473195330133
race_pred_Unknown,0.004564125623395496,0.0023000466149669953,0.014393318637079634,0.002300789683794244,0.009359981234497503,0.0022523680057092792
race_Black,,,-0.01945852023401767,0.00023726368147492766,-0.013729569983988606,0.00023258825612272813
race_None,,,0.07521501443540385,0.0016649333304674823,0.035506629736379844,0.0016320700092356164
flesch_kincaid_grade,,,,,-0.02260607503421797,4.817031862113075e-05
