model,task,race_coef,race_t,race_sig,fk_coef,fk_t,fk_sig
LLaMA-3.1,medical,0.0498413025622251,66.31909840534415,***,-0.0124992125112486,-446.87815660050853,***
LLaMA-3.1,legal,0.041614899108811,72.83064533166905,***,-0.0226191513663085,-469.81973133312255,***
LLaMA-3.1,salary,426.8057240170172,23.06298758178711,***,110.14590171101942,65.06157790127583,***
OLMo-2,medical,-0.0082425094832252,-13.682175682921654,***,0.004432709625512,226.62688196456523,***
OLMo-2,legal,0.0481837980098467,30.833986191796413,***,0.0368063342269557,754.5750416488113,***
OLMo-2,salary,339.3299799904498,11.916894929930091,***,400.0677924691359,242.5939089154514,***
GPT-5.2,medical,0.0001892809382662,0.07250327006267607,ns,0.0047553998202586,23.543559255723636,***
GPT-5.2,legal,-0.0040906025068383,-1.1950861523573841,ns,-0.001674341958381,-4.362344720990881,***
GPT-5.2,salary,1239.409451180747,15.783428299418146,***,-253.96807110157056,-23.23132730868073,***
