variable,(1) coef,(1) se,(1) p,(2) coef,(2) se,(2) p
Intercept,157546406357.53378,97412719853.83572,0.10587485349501347,163767118412.41016,95848671582.5555,0.08758703084428826
race_pred_Black,-157546406357.2079,97412719853.84955,0.10587485349578486,-163767118412.43793,95848671582.56923,0.08758703084427999
race_pred_Unknown,-157546406357.2484,97412719853.84059,0.10587485349566295,-163767118412.44962,95848671582.56042,0.08758703084422823
flesch_kincaid_grade,,,,0.07255293587333735,0.006123819157493993,5.905677447264564e-32
