variable,(1) coef,(1) se,(1) p,(2) coef,(2) se,(2) p
Intercept,86380.95238097894,6581.539568534872,1.0315765929431579e-38,100876.0004788161,7475.252466483915,8.650328360219128e-41
race_pred_Black,6535.078153380125,6840.219979691268,0.3394266960483697,6203.027100903629,6830.091253092173,0.3638211471550059
race_pred_Unknown,59.58185689026302,6596.173747325124,0.9927933343418069,-11.092858857408821,6585.958923575196,0.9986561753800121
flesch_kincaid_grade,,,,-1954.4315956294179,480.4552771738007,4.817507987606788e-05
