variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.07188706272032892,0.000692510684474067,0.07131504126466753,0.000697544291982756,0.05923400234495681,0.0006830998940200639
race_pred_Unknown,0.03126049791029463,0.0006919246142263462,0.030620500608685167,0.0006978860197754199,0.01756041736951766,0.000683523228279961
race_Black,,,0.0018143674003782103,0.00018189908591256988,0.003219316289951346,0.00017802181886293896
race_None,,,0.05420023007520603,0.0012850329920872754,0.02656458948111465,0.0012589513414678862
flesch_kincaid_grade,,,,,-0.01289916681558728,2.870985252633391e-05
