variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,6.9769597752017445,28.438163182646225,-71.8331648010015,28.586945474840984,339.3299799904498,28.474697644450945
race_pred_Unknown,897.1292674296415,190.27569756829757,818.320904442156,190.27413747462114,1273.825455103301,189.2003064257411
race_Black,,,145.80523094585465,5.841536659870902,150.12118216347102,5.808310568851317
race_None,,,-1023.0733859062258,41.69407338990191,-578.2620072525132,41.49725505468796
flesch_kincaid_grade,,,,,400.0677924691359,1.649125463445033
