variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.08155207093872462,0.0007589614095228966,0.09159890981346534,0.0007638481323789349,0.061125843090657175,0.0007508363430194176
race_pred_Unknown,0.01573300954890897,0.0006418113670522843,0.025987966782990327,0.0006482189163176938,0.02281939063533167,0.000634567632235035
race_Black,,,-0.01881810492808373,0.00018220522135020605,-0.01768791815787474,0.00017837487291340342
race_None,,,0.04391893914743589,0.0012836284946636538,0.010756460506115,0.0012587193298933504
flesch_kincaid_grade,,,,,-0.012448048278072495,2.7938777148968387e-05
