variable,(1) coef,(1) se,(2) coef,(2) se,(3) coef,(3) se
race_pred_Black,0.08550360295537024,0.0005644075834652005,0.09401624521255927,0.0005724820153916216,0.04161489910881106,0.0005713927004120587
race_pred_Unknown,0.004564125623394392,0.002300046614966685,0.013190010838375978,0.0022999062815129653,0.008998839212754808,0.002251390328018994
race_Black,,,-0.019981334182163597,0.00023706068005738498,-0.015293976059829184,0.00023227249321008627
race_None,,,0.075100574055243,0.001664740511794978,0.03481136822178428,0.0016318651923708156
flesch_kincaid_grade,,,,,-0.02261915136630856,4.814431974180017e-05
